team,has_url,candidate_urls,matches,matches_total,legacy_matches,season_year,rows,target_matches,missing_matches,status
Rex Regum Qeon,True,0,20,61,0,2026,255,20,0,ok
T1,True,0,20,69,0,2026,240,20,0,ok
Team Liquid,True,0,20,62,0,2026,245,20,0,ok
Titan Esports Club,True,0,20,48,0,2026,265,20,0,ok
BBL Esports,True,0,21,52,0,2026,275,20,0,ok
Gentle Mates,True,0,21,50,0,2026,280,20,0,ok
Bilibili Gaming,True,0,22,70,0,2026,290,20,0,ok
Dragon Ranger Gaming,True,0,22,55,0,2026,290,20,0,ok
Global Esports,True,0,22,54,0,2026,285,20,0,ok
JD Gaming,True,0,22,48,0,2026,275,20,0,ok
Team Heretics,True,0,22,63,0,2026,295,20,0,ok
100 Thieves,True,0,23,65,0,2026,285,20,0,ok
Nongshim RedForce,True,0,23,57,0,2026,335,20,0,ok
All Gamers,True,0,24,46,0,2026,325,20,0,ok
TYLOO,True,0,24,47,0,2026,310,20,0,ok
FUT Esports,True,0,25,64,0,2026,325,20,0,ok
Leviatan,True,0,25,61,0,2026,340,20,0,ok
Xi Lai Gaming,True,0,26,62,0,2026,365,20,0,ok
Edward Gaming,True,0,27,76,0,2026,360,20,0,ok
G2 Esports,True,0,27,82,0,2026,350,20,0,ok
Team Vitality,True,0,27,58,0,2026,330,20,0,ok
Paper Rex,True,0,31,86,0,2026,445,20,0,ok
NRG,True,0,33,75,0,2026,430,20,0,ok
PCFIC Esports,True,0,10,50,0,2026,130,20,10,under_target
Team Secret,True,0,11,51,0,2026,135,20,9,under_target
VARREL,True,0,11,41,0,2026,135,20,9,under_target
ZETA DIVISION,True,0,11,50,0,2026,135,20,9,under_target
KRU Esports,True,0,12,52,0,2026,145,20,8,under_target
ENVY,True,0,13,50,0,2026,165,20,7,under_target
Evil Geniuses,True,0,13,50,0,2026,160,20,7,under_target
LOUD,True,0,13,51,0,2026,165,20,7,under_target
Cloud9,True,0,14,56,0,2026,165,20,6,under_target
DetonatioN FocusMe,True,0,15,50,0,2026,185,20,5,under_target
FURIA,True,0,15,50,0,2026,205,20,5,under_target
GIANTX,True,0,16,51,0,2026,195,20,4,under_target
Nova Esports,True,0,16,52,0,2026,195,20,4,under_target
Sentinels,True,0,16,71,0,2026,195,20,4,under_target
Wolves Esports,True,0,16,57,0,2026,205,20,4,under_target
DRX,True,0,17,71,0,2026,215,20,3,under_target
Fnatic,True,0,17,69,0,2026,235,20,3,under_target
FunPlus Phoenix,True,0,17,47,0,2026,210,20,3,under_target
Gen.G,True,0,17,62,0,2026,235,20,3,under_target
Trace Esports,True,0,17,51,0,2026,200,20,3,under_target
Eternal Fire,True,0,18,52,0,2026,230,20,2,under_target
FULL SENSE,True,0,18,49,0,2026,220,20,2,under_target
MIBR,True,0,18,54,0,2026,240,20,2,under_target
Natus Vincere,True,0,18,51,0,2026,225,20,2,under_target
Karmine Corp,True,0,19,50,0,2026,255,20,1,under_target
