event_id,url,title,article_text,published,effective_at,expires_at,event_type,matched_phrases,performance_delta,availability_delta,uncertainty_delta,confidence
d528e68f6d150849e9f0,https://www.vlr.gg/720469/kr-hints-at-end-of-kr-spark-program-announces-next-steps,"KRÜ hints at end of KRÜ SPARK program, announces next steps","KRÜ hints at end of KRÜ SPARK program, announces next steps KRÜ SPARK appears to be nearing its end, with its remaining players set to try out for the main roster at the end of the year.",2026-07-22T00:00:00,2026-07-22T00:00:00,2026-08-26T00:00:00,unavailable,out for,0.0,-0.35,0.18,0.9
07dc03ef019e4a4fa23e,https://www.vlr.gg/720480/furia-academy-parts-ways-with-four,FURIA Academy parts ways with four,"FURIA Academy parts ways with four FURIA parts ways with four members of its academy roster, shedding light on what roster planning in 2027 might look like.",2026-07-22T00:00:00,2026-07-22T00:00:00,2027-01-18T00:00:00,roster_exit,parts ways,0.0,-0.85,0.28,0.95
dc3f22e07211fa336a53,https://www.vlr.gg/720827/izzy-benched-from-eternal-fire-spear-to-debut-against-team-heretics,"Izzy benched from Eternal Fire, Spear to debut against Team Heretics","Izzy benched from Eternal Fire, Spear to debut against Team Heretics Izzy will no longer start for the Turkish organization for the remainder of Stage 2.",2026-07-22T00:00:00,2026-07-22T00:00:00,2026-11-19T00:00:00,benching,benched,0.0,-0.7,0.25,0.95
5b86c1a92909f7547b5b,https://www.vlr.gg/715984/xipto-esports-signs-555-core-ahead-of-pacific-stage-2-play-ins,Xipto Esports signs 555 core ahead of Pacific Stage 2 Play-Ins,Xipto Esports signs 555 core ahead of Pacific Stage 2 Play-Ins The Filipino org picks up the Thai squad as it gears up to play VCT Pacific squads next month.,2026-07-16T00:00:00,2026-07-16T00:00:00,2026-09-29T00:00:00,roster_join,signs,0.0,0.0,0.08,0.85
e4aa7104fe5947a262ae,https://www.vlr.gg/715457/nats-to-miss-first-game-of-stage-2-against-eternal-fire,nAts to miss first game of Stage 2 against Eternal Fire,nAts to miss first game of Stage 2 against Eternal Fire Head Coach LohaN will fill the shoes of Liquid's in-game leader against Eternal Fire.,2026-07-15T00:00:00,2026-07-15T00:00:00,2026-08-19T00:00:00,unavailable,miss,0.0,-0.35,0.18,0.9
7cdae365a6aaca7696f8,https://www.vlr.gg/715810/iceman-returns-marved-to-stand-in-for-sentinels,Iceman returns: Marved to stand in for Sentinels,"Iceman returns: Marved to stand in for Sentinels Following an emergency appendectomy, johnqt will be sidelined for Sentinels for the near future.",2026-07-15T00:00:00,2026-07-15T00:00:00,2026-08-12T00:00:00,return,returns,0.02,0.25,-0.1,0.8
d67104d47d87c99a94a9,https://www.vlr.gg/715868/giantx-brings-on-jesse-to-stand-in-for-musz3kk,GIANTX brings on Jesse to stand in for musz3kk,GIANTX brings on Jesse to stand in for musz3kk GX finds a stand-in as its rookie Duelist deals with visa delays.,2026-07-15T00:00:00,2026-07-15T00:00:00,2026-08-19T00:00:00,visa,visa,0.0,-0.2,0.15,0.75
ad2f1b7c5edb8e0fe45e,https://www.vlr.gg/715226/flicker-returns-to-kiwoom-drx-after-loan-spell-at-crest,Flicker returns to KIWOOM DRX after loan spell at CREST,Flicker returns to KIWOOM DRX after loan spell at CREST Kiwoom DRX expands to a six-man roster after the return of Flicker.,2026-07-14T00:00:00,2026-07-14T00:00:00,2026-08-11T00:00:00,return,returns,0.02,0.25,-0.1,0.8
ae37376a7195193bfc39,https://www.vlr.gg/715355/pcific-releases-cned-signs-waddle,"PCIFIC releases cNed, signs waddle","PCIFIC releases cNed, signs waddle The 2021 World Champion will not continue with PCIFIC in Stage 2.",2026-07-14T00:00:00,2026-07-14T00:00:00,2026-09-27T00:00:00,roster_join,signs,0.0,0.0,0.08,0.85
f96c689d614d77fade2a,https://www.vlr.gg/715094/sharks-circles-xi-lai-gamings-roster-joins-as-sixth-man,"Sharks circles Xi Lai Gaming's roster, joins as sixth man","Sharks circles Xi Lai Gaming's roster, joins as sixth man XLG promotes a second team member to its bench ahead of Stage 2.",2026-07-13T00:00:00,2026-07-13T00:00:00,2026-11-10T00:00:00,benching,bench,0.0,-0.7,0.25,0.95
