team,team_id,matches_url,profile_url,source,league,region,tier,season_year,active,ranking_page,added_at,resolved_at
100 Thieves,,,,vct_tier1_seed,VCT Americas,VCT Americas,tier1,2026,true,,2026-07-10T02:09:24,
All Gamers,,,,vct_tier1_seed,VCT China,VCT China,tier1,2026,true,,2026-07-10T02:09:24,
BBL Esports,,,,vct_tier1_seed,VCT EMEA,VCT EMEA,tier1,2026,true,,2026-07-10T02:09:24,
Bilibili Gaming,,,,vct_tier1_seed,VCT China,VCT China,tier1,2026,true,,2026-07-10T02:09:24,
Cloud9,,,,vct_tier1_seed,VCT Americas,VCT Americas,tier1,2026,true,,2026-07-10T02:09:24,
DRX,,,,vct_tier1_seed,VCT Pacific,VCT Pacific,tier1,2026,true,,2026-07-10T02:09:24,
DetonatioN FocusMe,,,,vct_tier1_seed,VCT Pacific,VCT Pacific,tier1,2026,true,,2026-07-10T02:09:24,
Dragon Ranger Gaming,,,,vct_tier1_seed,VCT China,VCT China,tier1,2026,true,,2026-07-10T02:09:24,
ENVY,,,,vct_tier1_seed,VCT Americas,VCT Americas,tier1,2026,true,,2026-07-10T02:09:24,
Edward Gaming,,,,vct_tier1_seed,VCT China,VCT China,tier1,2026,true,,2026-07-10T02:09:24,
Eternal Fire,,,,vct_tier1_seed,VCT EMEA,VCT EMEA,tier1,2026,true,,2026-07-10T02:09:24,
Evil Geniuses,,,,vct_tier1_seed,VCT Americas,VCT Americas,tier1,2026,true,,2026-07-10T02:09:24,
FULL SENSE,,,,vct_tier1_seed,VCT Pacific,VCT Pacific,tier1,2026,true,,2026-07-10T02:09:24,
FURIA,,,,vct_tier1_seed,VCT Americas,VCT Americas,tier1,2026,true,,2026-07-10T02:09:24,
FUT Esports,,,,vct_tier1_seed,VCT EMEA,VCT EMEA,tier1,2026,true,,2026-07-10T02:09:24,
Fnatic,2593,https://www.vlr.gg/team/matches/2593/fnatic/,https://www.vlr.gg/team/2593/fnatic/,vct_tier1_seed,VCT EMEA,VCT EMEA,tier1,2026,true,,,
FunPlus Phoenix,,,,vct_tier1_seed,VCT China,VCT China,tier1,2026,true,,2026-07-10T02:09:24,
G2 Esports,11058,https://www.vlr.gg/team/matches/11058/g2-esports/,https://www.vlr.gg/team/11058/g2-esports/,vct_tier1_seed,VCT Americas,VCT Americas,tier1,2026,true,,,
GIANTX,,,,vct_tier1_seed,VCT EMEA,VCT EMEA,tier1,2026,true,,2026-07-10T02:09:24,
Gen.G,17,https://www.vlr.gg/team/matches/17/gen-g/,https://www.vlr.gg/team/17/gen-g/,vct_tier1_seed,VCT Pacific,VCT Pacific,tier1,2026,true,,,
Gentle Mates,,,,vct_tier1_seed,VCT EMEA,VCT EMEA,tier1,2026,true,,2026-07-10T02:09:24,
Global Esports,,,,vct_tier1_seed,VCT Pacific,VCT Pacific,tier1,2026,true,,2026-07-10T02:09:24,
